Year,price,Fuel type,Gear box type,Manufacturer,Color,CarName
2010,15000,Petrol,Manual,TOYOTA,Red,toyota corolla
2011,18920,Diesel,Automatic,MERCEDES-BENZ,Blue,mercedes c200
2012,22000,Petrol,Automatic,BMW,Black,bmw 320i
2013,25000,Diesel,Manual,AUDI,Silver,audi a4
2011,17000,Petrol,Manual,HONDA,White,honda civic
2014,30000,Diesel,Automatic,MERCEDES-BENZ,Black,mercedes e350
2010,12000,Petrol,Manual,TOYOTA,Blue,toyota yaris
2015,35000,Petrol,Automatic,BMW,Red,bmw 520i
2012,20000,Diesel,Manual,VOLKSWAGEN,Grey,vw passat
2013,28000,Petrol,Automatic,AUDI,White,audi a6
2011,16000,Petrol,Manual,FORD,Silver,ford focus
2014,32000,Diesel,Automatic,BMW,Blue,bmw x3
2010,14000,Petrol,Manual,NISSAN,Red,nissan sentra
2015,38000,Petrol,Automatic,MERCEDES-BENZ,White,mercedes s500
2012,19000,Diesel,Manual,VOLKSWAGEN,Black,vw golf
2006,16455,Petrol,CVT,LAND-ROVER,Gold,land-rover range-rover
2019,22491,Electric,Automatic,KIA,Brown,kia niro
2020,8979,Hybrid,Manual,TOYOTA,Black,toyota chr
2015,38540,Electric,Automatic,LEXUS,Beige,lexus nx300
2016,59963,Hybrid,Semi-Automatic,LEXUS,Maroon,lexus gs350
2008,39606,Petrol,CVT,CHRYSLER,Green,chrysler sedan
2020,8643,Hybrid,Automatic,NISSAN,Green,nissan pathfinder
2022,13779,Diesel,Automatic,FIAT,Red,fiat hatchback
2021,12059,Electric,Automatic,MINI,Grey,mini clubman
2010,15947,Hybrid,Semi-Automatic,SUBARU,White,subaru outback
2019,17374,Electric,Automatic,HONDA,Brown,honda civic
2023,46460,Electric,Automatic,JAGUAR,Navy,jaguar ftype
2021,29180,Diesel,Semi-Automatic,PEUGEOT,Red,peugeot wagon
2014,57991,Hybrid,Semi-Automatic,VOLVO,White,volvo c40
2008,26158,Hybrid,CVT,CHRYSLER,Beige,chrysler wagon
2017,11666,Hybrid,Semi-Automatic,SUZUKI,Grey,suzuki minivan
2009,27767,Electric,Automatic,FIAT,Silver,fiat minivan
2024,35451,Petrol,Semi-Automatic,MITSUBISHI,Navy,mitsubishi crossover
2011,24822,Diesel,Manual,TOYOTA,Yellow,toyota 4runner
2024,58612,Hybrid,Manual,MINI,Purple,mini countryman
2007,44723,Diesel,Semi-Automatic,MERCEDES-BENZ,White,mercedes-benz a200
2017,53553,Petrol,Semi-Automatic,JAGUAR,Maroon,jaguar xj
2019,78159,Petrol,Manual,AUDI,White,audi q8
2006,31099,Electric,Automatic,INFINITI,Grey,infiniti qx80
2011,20429,Diesel,Semi-Automatic,CHEVROLET,Purple,chevrolet impala
2015,52259,Diesel,Automatic,ACURA,Maroon,acura mdx
2005,37965,Diesel,CVT,LEXUS,Maroon,lexus rx350
2024,55225,Diesel,CVT,TOYOTA,Gold,toyota camry
2016,49073,Diesel,Automatic,GMC,Navy,gmc crossover
2018,14800,Electric,Automatic,SUZUKI,Purple,suzuki hatchback
2016,43837,Petrol,Automatic,CHRYSLER,Brown,chrysler hatchback
2011,21522,Diesel,Manual,RENAULT,Brown,renault minivan
2022,69479,Hybrid,CVT,LAND-ROVER,White,land-rover sport
2009,26554,Petrol,Automatic,KIA,Yellow,kia forte
2011,27794,Electric,Automatic,SEAT,Yellow,seat crossover
2019,79420,Hybrid,Automatic,LEXUS,Grey,lexus rc300
2022,64315,Electric,Automatic,MERCEDES-BENZ,White,mercedes-benz s600
2012,59417,Petrol,Automatic,MERCEDES-BENZ,Purple,mercedes-benz amg
2014,32471,Petrol,Manual,SUZUKI,Black,suzuki wagon
2010,64285,Petrol,Automatic,MERCEDES-BENZ,Purple,mercedes-benz c180
2008,23557,Diesel,Automatic,ACURA,Gold,acura nsx
2020,10932,Hybrid,Automatic,RENAULT,Beige,renault sedan
2016,19355,Petrol,Manual,MINI,Silver,mini coupe
